,steps
888,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:57:00'}"
889,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:56:00'}"
890,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:55:00'}"
891,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:54:00'}"
892,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:53:00'}"
893,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:52:00'}"
894,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:51:00'}"
895,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:50:00'}"
896,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:49:00'}"
897,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:48:00'}"
898,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:47:00'}"
899,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:46:00'}"
900,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:45:00'}"
901,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:44:00'}"
902,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:43:00'}"
903,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:42:00'}"
904,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:41:00'}"
905,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:40:00'}"
906,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:39:00'}"
907,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:38:00'}"
908,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:37:00'}"
909,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:36:00'}"
910,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:35:00'}"
911,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:34:00'}"
912,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:33:00'}"
913,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:32:00'}"
914,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:31:00'}"
915,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:30:00'}"
916,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:29:00'}"
917,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:28:00'}"
918,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:27:00'}"
919,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:26:00'}"
920,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:25:00'}"
921,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:24:00'}"
922,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:23:00'}"
923,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:22:00'}"
924,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:21:00'}"
925,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:20:00'}"
926,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:19:00'}"
927,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:18:00'}"
928,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:17:00'}"
929,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:16:00'}"
930,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:15:00'}"
931,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:14:00'}"
932,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:13:00'}"
933,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:12:00'}"
934,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:11:00'}"
935,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:10:00'}"
936,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:09:00'}"
937,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:08:00'}"
938,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:07:00'}"
939,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:06:00'}"
940,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:05:00'}"
941,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:04:00'}"
942,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:03:00'}"
943,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:02:00'}"
944,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:01:00'}"
945,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'05:00:00'}"
946,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:59:00'}"
947,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:58:00'}"
948,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:57:00'}"
949,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:56:00'}"
950,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:55:00'}"
951,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:54:00'}"
952,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:53:00'}"
953,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:52:00'}"
954,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:51:00'}"
955,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:50:00'}"
956,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:49:00'}"
957,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:48:00'}"
958,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:47:00'}"
959,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:46:00'}"
960,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:45:00'}"
961,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:44:00'}"
962,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:43:00'}"
963,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:42:00'}"
964,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:41:00'}"
965,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:40:00'}"
966,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:39:00'}"
967,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:38:00'}"
968,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:37:00'}"
969,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:36:00'}"
970,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:35:00'}"
971,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:34:00'}"
972,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:33:00'}"
973,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:32:00'}"
974,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:31:00'}"
975,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:30:00'}"
976,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:29:00'}"
977,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:28:00'}"
978,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:27:00'}"
979,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:26:00'}"
980,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:25:00'}"
981,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:24:00'}"
982,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:23:00'}"
983,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:22:00'}"
984,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:21:00'}"
985,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:20:00'}"
986,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:19:00'}"
987,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:18:00'}"
988,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:17:00'}"
989,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:16:00'}"
990,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:15:00'}"
991,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:14:00'}"
992,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:13:00'}"
993,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:12:00'}"
994,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:11:00'}"
995,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:10:00'}"
996,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:09:00'}"
997,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:08:00'}"
998,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:07:00'}"
999,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:06:00'}"
1000,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:05:00'}"
1001,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:04:00'}"
1002,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:03:00'}"
1003,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:02:00'}"
1004,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:01:00'}"
1005,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'04:00:00'}"
1006,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:59:00'}"
1007,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:58:00'}"
1008,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:57:00'}"
1009,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:56:00'}"
1010,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:55:00'}"
1011,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:54:00'}"
1012,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:53:00'}"
1013,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:52:00'}"
1014,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:51:00'}"
1015,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:50:00'}"
1016,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:49:00'}"
1017,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:48:00'}"
1018,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:47:00'}"
1019,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:46:00'}"
1020,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:45:00'}"
1021,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:44:00'}"
1022,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:43:00'}"
1023,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:42:00'}"
1024,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:41:00'}"
1025,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:40:00'}"
1026,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:39:00'}"
1027,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:38:00'}"
1028,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:37:00'}"
1029,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:36:00'}"
1030,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:35:00'}"
1031,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:34:00'}"
1032,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:33:00'}"
1033,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:32:00'}"
1034,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:31:00'}"
1035,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:30:00'}"
1036,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:29:00'}"
1037,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:28:00'}"
1038,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:27:00'}"
1039,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:26:00'}"
1040,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:25:00'}"
1041,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:24:00'}"
1042,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:23:00'}"
1043,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:22:00'}"
1044,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:21:00'}"
1045,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:20:00'}"
1046,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:19:00'}"
1047,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:18:00'}"
1048,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:17:00'}"
1049,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:16:00'}"
1050,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:15:00'}"
1051,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:14:00'}"
1052,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:13:00'}"
1053,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:12:00'}"
1054,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:11:00'}"
1055,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:10:00'}"
1056,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:09:00'}"
1057,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:08:00'}"
1058,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:07:00'}"
1059,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:06:00'}"
1060,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:05:00'}"
1061,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:04:00'}"
1062,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:03:00'}"
1063,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:02:00'}"
1064,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:01:00'}"
1065,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'03:00:00'}"
1066,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:59:00'}"
1067,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:58:00'}"
1068,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:57:00'}"
1069,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:56:00'}"
1070,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:55:00'}"
1071,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:54:00'}"
1072,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:53:00'}"
1073,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:52:00'}"
1074,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:51:00'}"
1075,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:50:00'}"
1076,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:49:00'}"
1077,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:48:00'}"
1078,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:47:00'}"
1079,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:46:00'}"
1080,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:45:00'}"
1081,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:44:00'}"
1082,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:43:00'}"
1083,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:42:00'}"
1084,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:41:00'}"
1085,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:40:00'}"
1086,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:39:00'}"
1087,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:38:00'}"
1088,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:37:00'}"
1089,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:36:00'}"
1090,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:35:00'}"
1091,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:34:00'}"
1092,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:33:00'}"
1093,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:32:00'}"
1094,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:31:00'}"
1095,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:30:00'}"
1096,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:29:00'}"
1097,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:28:00'}"
1098,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:27:00'}"
1099,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:26:00'}"
1100,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:25:00'}"
1101,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:24:00'}"
1102,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:23:00'}"
1103,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:22:00'}"
1104,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:21:00'}"
1105,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:20:00'}"
1106,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:19:00'}"
1107,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:18:00'}"
1108,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:17:00'}"
1109,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:16:00'}"
1110,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:15:00'}"
1111,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:14:00'}"
1112,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:13:00'}"
1113,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:12:00'}"
1114,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:11:00'}"
1115,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:10:00'}"
1116,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:09:00'}"
1117,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:08:00'}"
1118,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:07:00'}"
1119,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:06:00'}"
1120,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:05:00'}"
1121,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:04:00'}"
1122,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:03:00'}"
1123,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:02:00'}"
1124,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:01:00'}"
1125,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'02:00:00'}"
1126,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:59:00'}"
1127,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:58:00'}"
1128,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:57:00'}"
1129,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:56:00'}"
1130,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:55:00'}"
1131,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:54:00'}"
1132,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:53:00'}"
1133,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:52:00'}"
1134,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:51:00'}"
1135,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:50:00'}"
1136,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:49:00'}"
1137,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:48:00'}"
1138,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:47:00'}"
1139,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:46:00'}"
1140,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:45:00'}"
1141,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:44:00'}"
1142,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:43:00'}"
1143,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:42:00'}"
1144,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:41:00'}"
1145,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:40:00'}"
1146,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:39:00'}"
1147,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:38:00'}"
1148,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:37:00'}"
1149,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:36:00'}"
1150,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:35:00'}"
1151,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:34:00'}"
1152,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:33:00'}"
1153,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:32:00'}"
1154,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:31:00'}"
1155,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:30:00'}"
1156,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:29:00'}"
1157,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:28:00'}"
1158,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:27:00'}"
1159,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:26:00'}"
1160,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:25:00'}"
1161,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:24:00'}"
1162,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:23:00'}"
1163,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:22:00'}"
1164,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:21:00'}"
1165,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:20:00'}"
1166,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:19:00'}"
1167,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:18:00'}"
1168,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:17:00'}"
1169,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:16:00'}"
1170,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:15:00'}"
1171,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:14:00'}"
1172,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:13:00'}"
1173,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:12:00'}"
1174,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:11:00'}"
1175,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:10:00'}"
1176,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:09:00'}"
1177,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:08:00'}"
1178,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:07:00'}"
1179,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:06:00'}"
1180,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:05:00'}"
1181,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:04:00'}"
1182,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:03:00'}"
1183,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:02:00'}"
1184,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:01:00'}"
1185,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'01:00:00'}"
1186,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:59:00'}"
1187,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:58:00'}"
1188,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:57:00'}"
1189,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:56:00'}"
1190,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:55:00'}"
1191,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:54:00'}"
1192,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:53:00'}"
1193,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:52:00'}"
1194,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:51:00'}"
1195,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:50:00'}"
1196,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:49:00'}"
1197,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:48:00'}"
1198,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:47:00'}"
1199,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:46:00'}"
1200,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:45:00'}"
1201,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:44:00'}"
1202,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:43:00'}"
1203,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:42:00'}"
1204,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:41:00'}"
1205,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:40:00'}"
1206,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:39:00'}"
1207,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:38:00'}"
1208,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:37:00'}"
1209,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:36:00'}"
1210,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:35:00'}"
1211,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:34:00'}"
1212,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:33:00'}"
1213,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:32:00'}"
1214,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:31:00'}"
1215,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:30:00'}"
1216,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:29:00'}"
1217,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:28:00'}"
1218,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:27:00'}"
1219,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:26:00'}"
1220,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:25:00'}"
1221,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:24:00'}"
1222,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'00:23:00'}"
