,steps
77,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:28:00'}"
78,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:27:00'}"
79,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:26:00'}"
80,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:25:00'}"
81,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:24:00'}"
82,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:23:00'}"
83,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:22:00'}"
84,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:21:00'}"
85,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:20:00'}"
86,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:19:00'}"
87,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:18:00'}"
88,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:17:00'}"
89,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:16:00'}"
90,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:15:00'}"
91,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:14:00'}"
92,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:13:00'}"
93,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:12:00'}"
94,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:11:00'}"
95,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:10:00'}"
96,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:09:00'}"
97,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:08:00'}"
98,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:07:00'}"
99,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:06:00'}"
100,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:05:00'}"
101,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:04:00'}"
102,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:03:00'}"
103,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:02:00'}"
104,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:01:00'}"
105,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'19:00:00'}"
106,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:59:00'}"
107,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:58:00'}"
108,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:57:00'}"
109,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:56:00'}"
110,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:55:00'}"
111,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:54:00'}"
112,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:53:00'}"
113,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:52:00'}"
114,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:51:00'}"
115,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:50:00'}"
116,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:49:00'}"
117,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:48:00'}"
118,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:47:00'}"
119,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:46:00'}"
120,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:45:00'}"
121,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:44:00'}"
122,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:43:00'}"
123,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:42:00'}"
124,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:41:00'}"
125,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:40:00'}"
126,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:39:00'}"
127,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:38:00'}"
128,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:37:00'}"
129,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:36:00'}"
130,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'18:35:00'}"
